iter	RMSE
0	0.4414741583
1	0.4413890808
2	0.4413205538
3	0.4412492547
4	0.4411692787
5	0.4411082674
6	0.4410503318
7	0.4409977424
8	0.4409517811
9	0.4408998362
10	0.440847389
11	0.4408012518
12	0.4407608064
13	0.4407222271
14	0.4406851976
15	0.440653035
16	0.440622572
17	0.440587382
18	0.4405664155
19	0.4405313058
20	0.4405074819
21	0.4404887676
22	0.4404665594
23	0.4404382566
24	0.4404223198
25	0.4403938767
26	0.4403750123
27	0.440352066
28	0.4403280758
29	0.4403073322
30	0.440283348
31	0.44026136
32	0.4402469088
33	0.4402318464
34	0.4402070372
35	0.4401801247
36	0.4401652286
37	0.4401496663
38	0.4401372935
39	0.4401146678
40	0.4400875409
41	0.4400728842
42	0.4400621553
43	0.4400450991
44	0.4400325598
45	0.4400189765
46	0.440004232
47	0.4399912043
48	0.4399726465
49	0.4399557365
50	0.4399368838
51	0.439922918
52	0.4398980641
53	0.4398805764
54	0.4398699913
55	0.4398568891
56	0.4398448125
57	0.4398378706
58	0.439827156
59	0.4397996611
60	0.439785454
61	0.4397655954
62	0.4397465765
63	0.4397384693
64	0.4397222044
65	0.4397079849
66	0.4396936442
67	0.439680882
68	0.439662676
69	0.4396396546
70	0.439621362
71	0.439616005
72	0.4396009172
73	0.4395868737
74	0.4395696503
75	0.4395542505
76	0.4395442452
77	0.4395286209
78	0.4395204471
79	0.4395164282
80	0.4395083351
81	0.4394985256
82	0.4394854857
83	0.4394617292
84	0.4394464694
85	0.4394379455
86	0.4394267456
87	0.4394142872
88	0.4393977087
89	0.4393836843
90	0.4393669767
91	0.439359856
92	0.4393489313
93	0.4393391376
94	0.4393335318
95	0.4393147079
96	0.4393033798
97	0.4392961764
98	0.4392793502
99	0.4392649875
100	0.4392588817
101	0.4392491013
102	0.4392325301
103	0.4392134635
104	0.4391969053
105	0.4391893948
106	0.4391638064
107	0.4391513314
108	0.4391322342
109	0.4391144219
110	0.4391047647
111	0.4390943546
112	0.4390797665
113	0.4390718626
114	0.4390535426
115	0.4390397611
116	0.4390301465
117	0.4390115266
118	0.4389985871
119	0.4389786158
120	0.4389708678
121	0.4389614641
122	0.4389456598
123	0.4389359442
124	0.4389242419
125	0.4389056094
126	0.4388890991
127	0.4388776739
128	0.438869215
129	0.438860479
130	0.4388539178
131	0.4388434778
132	0.4388377317
133	0.4388170977
134	0.438807916
135	0.4388015468
136	0.4387847193
137	0.4387716279
138	0.4387659238
139	0.4387554177
140	0.4387393127
141	0.4387268089
142	0.4387184314
143	0.4387046157
144	0.4386842904
145	0.4386670974
146	0.4386610131
147	0.4386509099
148	0.4386389937
149	0.4386312507
150	0.4386145883
151	0.4386040015
152	0.4385960561
153	0.4385869354
154	0.438579105
155	0.4385687657
156	0.4385638505
157	0.438552061
158	0.438537574
159	0.4385284893
160	0.4385151921
161	0.4384993787
162	0.4384910181
163	0.4384766317
164	0.4384638357
165	0.4384555111
166	0.4384463745
167	0.4384354921
168	0.4384250137
169	0.4383976416
170	0.4383825884
171	0.4383740879
172	0.4383644829
173	0.4383524761
174	0.4383395332
175	0.4383321477
176	0.4383202663
177	0.4383109361
178	0.4383069264
179	0.4383018538
180	0.438288845
181	0.43827813
182	0.4382683407
183	0.4382584903
184	0.4382450457
185	0.4382282705
186	0.4382095938
187	0.4381861029
188	0.438174173
189	0.4381687325
190	0.4381615257
191	0.4381461141
192	0.4381417026
193	0.4381339107
194	0.438128585
195	0.4381173603
196	0.4380979205
197	0.4380876365
198	0.4380796838
199	0.4380653224
200	0.4380458118
201	0.4380341462
202	0.4380254671
203	0.4380184692
204	0.4380086925
205	0.4379999483
206	0.4379831222
207	0.4379706087
208	0.437965109
209	0.4379569291
210	0.4379475119
211	0.4379352897
212	0.4379266632
213	0.437915399
214	0.4379103206
215	0.4378985989
216	0.4378854587
217	0.4378777486
218	0.4378662367
219	0.437855286
220	0.4378483469
221	0.4378353789
222	0.4378192161
223	0.437805317
224	0.4377919323
225	0.4377634575
226	0.4377600056
227	0.4377481292
228	0.4377412543
229	0.4377222675
230	0.4377165753
231	0.4377060564
232	0.4376990975
233	0.4376916343
234	0.437681925
235	0.437666985
236	0.4376496995
237	0.4376433912
238	0.4376366259
239	0.4376249255
240	0.4376147539
241	0.4375967579
242	0.4375814216
243	0.4375650528
244	0.4375455453
245	0.4375379527
246	0.4375312036
247	0.4375249497
248	0.4375092888
249	0.4374948518
250	0.4374839426
251	0.4374697012
252	0.4374599308
253	0.4374497744
254	0.4374425288
255	0.4374271048
256	0.4374155385
257	0.4374049221
258	0.4373905144
259	0.4373789228
260	0.4373655572
261	0.4373558704
262	0.4373444697
263	0.4373323804
264	0.4373251354
265	0.4373165262
266	0.4373155632
267	0.4372991901
268	0.4372817044
269	0.4372639699
270	0.437256179
271	0.4372466336
272	0.4372384094
273	0.4372227248
274	0.4372088358
275	0.4372021135
276	0.4371861812
277	0.437169782
278	0.4371569554
279	0.4371262564
280	0.4371125985
281	0.4371025102
282	0.4370814344
283	0.4370684883
284	0.4370444874
285	0.4370267648
286	0.4370138426
287	0.437001782
288	0.4369894348
289	0.436967117
290	0.4369530633
291	0.4369472223
292	0.4369296488
293	0.4369255725
294	0.4369144296
295	0.4368993025
296	0.436888902
297	0.4368743944
298	0.4368592437
299	0.4368459331
