iter	Passed	Remaining
0	18	5529
1	34	5192
2	52	5212
3	119	8869
4	200	11800
5	225	11066
6	244	10216
7	260	9518
8	279	9052
9	297	8614
10	313	8245
11	329	7913
12	344	7608
13	359	7349
14	377	7174
15	394	6994
16	410	6836
17	430	6743
18	444	6578
19	460	6445
20	478	6362
21	494	6246
22	510	6149
23	526	6051
24	543	5982
25	560	5911
26	577	5837
27	595	5780
28	657	6140
29	712	6416
30	727	6313
31	743	6229
32	759	6144
33	822	6434
34	864	6547
35	880	6454
36	897	6381
37	954	6581
38	1020	6829
39	1044	6789
40	1072	6775
41	1095	6730
42	1115	6666
43	1132	6588
44	1149	6516
45	1167	6449
46	1188	6397
47	1211	6362
48	1228	6292
49	1245	6228
50	1262	6166
51	1366	6519
52	1400	6526
53	1424	6488
54	1443	6432
55	1460	6365
56	1476	6292
57	1489	6216
58	1508	6159
59	1609	6437
60	1626	6373
61	1642	6305
62	1662	6253
63	1679	6191
64	1692	6117
65	1707	6055
66	1812	6302
67	1828	6238
68	1843	6170
69	1857	6103
70	1880	6063
71	1959	6204
72	1973	6137
73	1987	6068
74	1999	5999
75	2014	5937
76	2104	6094
77	2121	6037
78	2138	5982
79	2152	5919
80	2164	5851
81	2246	5972
82	2291	5991
83	2306	5930
84	2320	5870
85	2332	5805
86	2359	5776
87	2446	5894
88	2462	5837
89	2477	5780
90	2489	5718
91	2503	5660
92	2516	5601
93	2530	5545
94	2543	5487
95	2556	5433
96	2571	5381
97	2584	5327
98	2599	5276
99	2614	5228
100	2629	5181
101	2643	5130
102	2658	5084
103	2672	5037
104	2685	4987
105	2727	4991
106	2796	5044
107	2810	4996
108	2821	4944
109	2836	4900
110	2856	4863
111	2945	4943
112	2962	4903
113	2975	4855
114	2987	4806
115	3000	4759
116	3015	4716
117	3033	4678
118	3053	4643
119	3072	4608
120	3090	4571
121	3110	4538
122	3125	4497
123	3139	4455
124	3159	4423
125	3177	4387
126	3193	4349
127	3206	4308
128	3219	4268
129	3235	4231
130	3251	4194
131	3265	4156
132	3279	4117
133	3292	4078
134	3326	4065
135	3403	4103
136	3421	4070
137	3436	4033
138	3450	3996
139	3465	3960
140	3480	3924
141	3495	3889
142	3512	3856
143	3531	3826
144	3553	3798
145	3570	3765
146	3582	3729
147	3595	3692
148	3685	3734
149	3707	3707
150	3723	3674
151	3737	3639
152	3752	3604
153	3835	3635
154	3866	3617
155	3881	3582
156	3898	3550
157	3916	3519
158	3931	3486
159	3947	3454
160	3965	3423
161	4051	3451
162	4077	3427
163	4096	3397
164	4112	3365
165	4166	3363
166	4237	3374
167	4258	3346
168	4278	3316
169	4377	3347
170	4409	3326
171	4428	3295
172	4445	3263
173	4503	3261
174	4559	3256
175	4578	3225
176	4594	3192
177	4613	3162
178	4633	3131
179	4659	3106
180	4689	3083
181	4723	3062
182	4761	3043
183	4794	3022
184	4824	2999
185	4846	2970
186	4887	2953
187	4905	2922
188	4926	2893
189	4946	2863
190	4969	2835
191	4987	2805
192	5002	2773
193	5019	2742
194	5037	2712
195	5054	2681
196	5069	2650
197	5083	2618
198	5097	2587
199	5110	2555
200	5124	2524
201	5206	2525
202	5254	2510
203	5271	2480
204	5286	2449
205	5301	2419
206	5403	2427
207	5422	2398
208	5439	2368
209	5455	2337
210	5554	2342
211	5573	2313
212	5591	2283
213	5605	2252
214	5621	2222
215	5710	2220
216	5725	2189
217	5742	2159
218	5755	2128
219	5770	2098
220	5866	2097
221	5882	2066
222	5900	2037
223	5915	2007
224	5973	1991
225	6021	1971
226	6035	1941
227	6051	1910
228	6067	1881
229	6148	1871
230	6174	1844
231	6189	1814
232	6204	1784
233	6218	1754
234	6232	1723
235	6246	1693
236	6260	1664
237	6314	1644
238	6363	1624
239	6378	1594
240	6394	1565
241	6409	1536
242	6445	1511
243	6514	1495
244	6527	1465
245	6543	1436
246	6559	1407
247	6624	1389
248	6682	1368
249	6698	1339
250	6733	1314
251	6753	1286
252	6768	1257
253	6785	1228
254	6800	1200
255	6818	1171
256	6837	1144
257	6861	1116
258	6872	1087
259	6890	1060
260	6909	1032
261	7004	1015
262	7025	988
263	7042	960
264	7059	932
265	7070	903
266	7081	875
267	7094	847
268	7105	818
269	7122	791
270	7135	763
271	7149	735
272	7164	708
273	7181	681
274	7196	654
275	7211	627
276	7226	600
277	7238	572
278	7250	545
279	7265	518
280	7278	492
281	7304	466
282	7396	444
283	7413	417
284	7428	390
285	7441	364
286	7454	337
287	7545	314
288	7562	287
289	7579	261
290	7594	234
291	7690	210
292	7715	184
293	7731	157
294	7744	131
295	7793	105
296	7861	79
297	7877	52
298	7896	26
299	7924	0
